r,z,pressure,ne
77.71444134,59.03776247,2.9997,3.03E+17
84.55215795,58.98049991,2.9997,2.97E+17
91.36990426,58.94940551,2.9997,2.90E+17
98.17383076,58.93017645,2.9997,2.81E+17
104.9759982,58.91300478,2.9997,2.71E+17
111.7950709,58.89098389,2.9997,2.59E+17
118.6502977,58.86487641,2.9997,2.46E+17
153.6758382,58.85033763,2.9997,1.61E+17
125.5764132,58.84011706,2.9997,2.31E+17
132.6346247,58.80597819,2.9997,2.15E+17
139.7731116,58.62680562,2.9997,1.97E+17
146.8179657,58.58959121,2.9997,1.79E+17
159.9620295,58.22481225,2.9997,1.44E+17
5.528953915,57.34132426,2.9997,3.18E+17
16.58251274,57.28278356,2.9997,3.18E+17
39.00510948,57.27346638,2.9997,3.18E+17
27.65095943,57.25759699,2.9997,3.18E+17
176.5162206,57.00569702,2.9997,1.01E+17
201.7884021,56.66483804,2.9997,4.30E+16
213.3149047,56.58918575,2.9997,2.08E+16
186.8126442,56.32348015,2.9997,7.59E+16
48.96713908,56.03568677,2.9997,3.17E+17
53.84619397,55.00543681,2.9997,3.16E+17
171.0510719,54.97301545,2.9997,1.15E+17
155.9899445,54.48597243,2.9997,1.55E+17
60.17886231,54.2801768,2.9997,3.14E+17
44.52362093,54.1072889,2.9997,3.18E+17
164.9237239,54.1069967,2.9997,1.31E+17
0,54.00065546,2.9997,3.18E+17
220.445517,53.95221096,2.9997,8.27E+15
67.08456833,53.9490859,2.9997,3.11E+17
33.36740217,53.94028378,2.9997,3.19E+17
11.04723056,53.93880914,2.9997,3.19E+17
22.11758918,53.91400434,2.9997,3.19E+17
74.00944704,53.80463405,2.9997,3.06E+17
80.88237365,53.73399465,2.9997,3.01E+17
87.71382655,53.69689174,2.9997,2.94E+17
94.51809345,53.67498984,2.9997,2.86E+17
101.3116671,53.65575489,2.9997,2.77E+17
108.1059985,53.63381417,2.9997,2.66E+17
136.1502494,53.61671706,2.9997,2.06E+17
114.9198432,53.60503135,2.9997,2.53E+17
121.7840316,53.57569749,2.9997,2.39E+17
181.3327795,53.56778278,2.9997,8.89E+16
128.7637707,53.56053789,2.9997,2.24E+17
150.6077691,53.30271064,2.9997,1.69E+17
208.7375711,53.11763263,2.9997,2.93E+16
193.3982733,53.08164826,2.9997,6.07E+16
217.8110561,52.98470446,2.9997,1.28E+16
222.0719987,52.92174857,2.9997,5.46E+15
224.7324951,52.92174857,2.9997,1.02E+15
225,52.92174857,2.9997,6.67E+14
223.0996454,52.92174857,2.9997,3.71E+15
223.8336788,52.92174857,2.9997,2.47E+15
224.3579883,52.92174857,2.9997,1.62E+15
159.851684,52.9169668,2.9997,1.44E+17
143.4492708,52.6327373,2.9997,1.87E+17
49.72158763,51.66420262,2.9997,3.15E+17
175.6208566,51.14032967,2.9997,1.02E+17
39.18342234,50.73129341,2.9997,3.16E+17
5.515561311,50.58949206,2.9997,3.16E+17
27.74443554,50.54570046,2.9997,3.16E+17
16.56646812,50.54492574,2.9997,3.16E+17
